score,content
5,kalau bisa cukup harganya saja jangan pakai ongkirkalau bisa pembayaran bayar di tempat saja bayar melalui kuriraplikasi sebelah juga tanpa ongkir
1,iklan ganggu in teruss
1,saya kesulitan mengganti nomor terdaftar yang sudah tidak aktif saldo saya nyangkut
5,mudah dan aman belanja melalui tokopedia
5,pelayanan penjual dan aplikator cukup bagus serta bisa dipercaya
1,saya pelanggan tahunan tokped aplikasi update terus gimana mau bayar tagihan cicilan tokped dan tidak belanja lagi di tokped kena tipu toko barang ga sampai sampai nominal lumayan komplain jangan di teruskan dana ke toko malah di teruskan ke toko akhirnya amsyong duit lenyap sampai sekarang ga da kejelasan mau bayar cicilan aja susah aplikasi update terus toko bodong masih banyak di pelihara dan sudah banyak korban
5,aplikasi jelek
4,good service  quick
1,barusan kurir sms dan bilang uang pembayaran belum masuk bayar lewat ovo saya jawab bukannya sudah dibayar toko pedia tidak ada jawaban mencurigakan dan saya batalkan pesanan saya di rubah jangan hanya kurir standar kargo ekonomi same day instan reguler kasih penjelasan misalnya jt jne hanya beberapa saja semua store ada saya sering debat dengan orang tua karena paket sampai ke rumah orang tua bukan ke saya masih tetap untuk bagian kurir apalagi ke marin orang tua protes
1,ngga melakukan kesalahan apa tiba tiba dibatalkan sistem pesanan saya pantesan kalah dari shopee mending ganti shopee
2,banyak toko langganan diblokir kenapa gak tau jadi pindah olshop
1,mau bangkrut ini tokped mending uninstall dah seminggu ini diperhatiin mau belanja receh atau ratusan ribu udah gak ada gratis ongkir gebleg
1,gabisa top up toko pedia ga bisa mau ambil uang nya ribet pusing
4,baru mau mencoba semoga berguna bagi saya
5,bagus
1,kenapa tidak bisa tf pakai bri lagi harus bca
5,bagu dan tercepat
5,pengiriman selalu tepat waktu dan harga sangat terjangkau menengah kebawah
2,tolong pengiriman lambat lebih cepat di toko sho padahal sama reguler
1,perbaiki cara pengiriman anda tokopedia pengiriman sangat lelet tidak layak dipake
5,ok
5,keren
1,terlalu sering minta update aplikasi  update aplikasi maksa padahal saya pengguna lama  malah makin parah nih aplikasi mitra tokopedia malah ditutup
1,bila beli lebih dari  harga per satuannya tambah mahal ya misal beli  harga  per unit beli  harga  per unit beli  harga per unit  begitu seterusnya
5,appsnya bagus  mudah dipahami
1,ga kaya yg lain nih aplikasi klau udh beli ga bisa di cancel sudah complain sana sni ga ada solusi mau batal pesanan karna pihak toko ga kirim barang status selalu menunggu kurir selama tiga hari
1,aplikasi makin buruk metode pembayaran dana ajh tidak tersedia
1,aplikasi sampah diskon ga sesuai kenyataan bukan nya dapat potongan  malah tekor biaya admin
5,belanjanya puastapi saran sedikitkalau bisa ongkirnya di kurangin
5,mantap
5,klo aku sih yes
1,mahalmahal banget toko oren jauh lebih murah
1,sering muncul di iklan merasa ke ganggu
5,mantap
5,keren
1,tik tok shop by tokopedia parah saldo saya di kunci  juta
1,marketplace aneh ini tokped saya beli produk rusak terus chat penjual dan penjual tidak merespon terus saya laporankan k pihak tokpednya malah ga di respon juga pelayanannya jauh banget di bawah shopee dan yang lainnya
1,mengecewakan sekarang barang tidak datang duit di ambil penjual solusi tokopedia cuma usaha lewat tulisan
1,ud barang ga lengkap rugiin seller pula
1,gak ada manfaat nya aplikasi ini beli pod ato vape gak bisa sedang kan alat bantu sex bisa aneh gimana logika nya
1,pertama kali belanja di apk ini langsung dapat penjual penipu gak lagilagi belanja di apk ini maaf
5,best olshoop
1,iklan di aplikasi lain ganggu
1,aplikasi tolol update mulu kerjaanya
1,tarlalu lama penyelesaian masalah smpe  minggu itu pun gak selesai gak lagi deh pake tokped untuk pengguna aplikasi mending pake shopee
1,makin kesini makin ga enak pake tokped beli plus ga bisa dipake semua fasilitas yg di janjiin complain ke cs ga ngasih solusi ga papa deh ikhlasin aja langsung ambil keputusan uninstall apknya ga bakal pake lagi padahal dulu mah belanja disini terus sampe statusnya diamond tapi makin kesini kalah sama toko oren
5,ok
1,aplikasi yg tidak ramah sama penjualsangat merugikan dari potongan  untuk brg elektronik sampe penyelesaian pesanan yg awal nya x jam menjadi xjampenjual jadi kesulitan mutar modal maaf kalo terus seperti ini pasti akan di tinggal kan sama pemakai terutama penjual semoga berbenah lebih baikkalo tidak siap tenggelam dan tinggal nama saja seperti apk sebelah
5,beli liquid susah
5,mantap
5,good job
1,klw dapat ekspedisi jne mesti lama
1,kebanyakan iklanna
3,semoga usaha lancar
4,ui sederhana dan tidak berat
1,pesen barang dr tgl  ini sudah tgl  masih di jakarta dilempar kurir dr jt ke lilo ke jt lagi terus ke lilo lagi terus ke jnegw pesen barang untuk jualan pengiriman kaya keongpindah dulu ke lazada
5,dpt diskon gede
5,bagus dan terpercaya
1,tokopedia care tidak respown  top up saldo tidak masuk
5,proses cepat
2,entah kenapa akun sy kek ngefreeze tidak bisa belanja barangtoko banyak invalid
5,eitts mau belanja tapi takut boros tenangg cuman di tokopedia guncang  jawabannya di tanggal  juni kamu dijamin dapet promonya  gebyar flash sale sd dijamin diskon sd rb  gratis ongkir rp  berkalikali yuk update aplikasi tokopedia kamu untuk dapatkan pengalaman seluruhnya
5,juga mempermudah kita untuk belanja on line dan barang nya bermutu dan kualitas bagus dan banyak k discount jadi para ibu ibu suka membeli barang yg diinginkankarena bagus dan nyaman dipakai
3,kenapa paket saya sering telat sampenya sekarangbiasanya  hari dah sampetapi sekarang sering jadi  hariapa karena tiktokshop jadi begini
1,pembayaran digital lambat penanganannya
1,udah enak belanja di tokopedia tapi sayang exspedisi nya lelet tolong dong buat exspedisi nya di percepat kalah ni sama si oren exspedisi nya cepet
5,aplikasi ini sangat membantu mudah untuk digunakan super keren
1,pesanan saya belum sampai sampai padahal udah dibayar
5,aplikasi yg mantap
5,belanja lebih mudah dan lebih murah kalo bisa tambahin lagi promo nya
1,sorry bro paket gw dateng gw uninstal kurir rekomendasi gajelas  hari udah handover  kurir dan stuck di kota yg sama saya rasa makin kesini makin gajelas terutama untuk layanan konsumen  kurir rekom sudah banyak komplain dari konsumen tapi tidak ada tanggapan jadi jangan salahkan klo banyak konsumen beralih ke marketplace lain
5,mantap
3,maaf untuk sementara kasih bintang  sebab kurang nyaman kenapa kok alamat pengiriman bisa berubah dengan sendirinya padahal gak di rubah pengiriman pun jadi gagal karna alamat berubah tolong diperbaiki
5,sangat mudah digunakan
1,duit seller di hold  harian untuk di puterin di pinjol findaya dan adakami bisa di check di dashboard keuangan  pajak potongan  yang di bebankan ke seller dan masih ada beberapa yang tidak di beritahukan sebelumnya alias pas aktif setelah migrasi pajak yg dll ini  cs lebih pro ke pembeli ketimbang ke penjual dan jika ada barang yg di kembalikan seller lah yang nanggu semua ongkos kirimnya pajak freeongkir sebesar  max k ini sama aja penjual yg nanggu ongkir dll lanjutkan
1,daftar paylater susah opsi pengiriman juga ga bisa dipilih promo ga jelas nyari apa keluarnya ga sesuai
5,selalu di tokped
5,good
1,merugikan pembeli sistem kacau membela seller mending marketplace sebelah orange dan biru sistem lebih oke ada perlindungan terhadap pembeli
1,tolong untuk toko pedia d perhatikan lagi tokonya toko penipu banyak d toko pedia saya pesan brang liat ulasan semua bagus trus katanya po seminggu dua hari paketnya dtg tapi isinya bukan brang yg d pesan tlong untuk toko pedia proses dana saya saya cht tokonya udah gkda lagi tokonya udah non aktif
5,pencarian melalui photo di buat juga dong
1,aplikasi gak jelas  orderan gak di kirim melebihi batas waktu yg di tentukan chat penjual gak ada respon  ajukan pembatalan order gak ada kejelasan komplaik ke cs juga tidak ada solusi selain menunggu persetujuan penjual  bisa di perbaiki tidak sistmnya  apa memang hanya cari keuntungan dari pengguna saja
1,udah mulai jelek kualitasnya saya dan istri pesan ditokped diakun berbeda udah nunggu lama ga kebaca pickup dan batal sendiri dari seller katanya udah kirim aneh
5,good
5,mantap
1,membantu bgt masa pandemi
1,hati hati belanja di tokped ini pengalaman saya belanja di tokped kalo udah ada proses pengiriman walaupun bukan pembeli yang membatalkan uang ongkir tidak kembali ke dana refund pembeli sistem inilah yang harus di koreksi ulang oleh pihak tokped terima kasih
1,diskon pengguna baru tidak bisa dipakai
5,gratis ongkir sm cashback ga bs digabung
1,mending bangkrut aja sekalian pelayanan untuk pembeli zonk banyak pembeli yang merasa kena tipu tp gak ada perlindungan pengembalian barang sangat lama cs g adil gak jelas
5,toko pedia bagus semoga kedepannya banyak diskon ongkirnya diperbanyak agar pelanggan bisa belanja disini
1,apk maling masa g pernah transaksi tiba tiba ada transaksi aneh bakikin saldo gua njing
1,ga ada fitur live chat nya susah ngehubungi csnya
1,pesanan saya di batalkan oleh sistem tanpa persetujuan saya dan biaya ongkos kirim tidak di kembalikan sangat kecewa aplikasi yang buruk
2,tidak ada masalah dengan aplikasi nya yng bermasalah kurir ny sombong sangat tidak ramah pengiriman lama terus tidak mau balik lagi dikirim ny besoknya lagi
1,udah  bulan gopaylater saya diblokir  ada apa emg  pinjaman sudah lunas paylater ttp ga bisa di gunakan  saya berhenti belanja bulanan di tokopedia yg sebelumnya saya bisa berbelanja jttahun lebih baik belanja di pasar saja  sampah banget apk nya sistem pembatalan lama banyak toko sembako ga aktif bahkan fiktif lamalama kalian kehilangan banyak pengguna
1,iklan elu banyak di aplikasi cape saye  hari  malem kenganggu iklan kau tohapok
1,card kredit saya kena hackdan limit jt saya hilangtiba tiba sudah ada  transaksi sumpah demi apapun saya tidak pernah ngambil limit itusaya tidak akan membayar tagihannya karna saya tidak merasa melakukan transaksi tersebut
1,saldo penjualan saya belom masuk ini sudah cht seller pun solusi gk ada bertele tolong di bantu kepada adminnya
3,apalah tokped upload fotovideo ulasan lama banget dipake upload yg lain aman aman aja
5,gak sukak iklan nya
2,tambah lemotbuka halaman berat payah
3,barang kurang lengkap udah itu barang yang di toko online lain murah tapi disini mahal
5,lebih ringan dari shoppe
5,bagus
5,bagus servisnya
5,min kasih promo yg masuk akal napa masa ada yg diatas harga retail awalgw dah kasih rating bagus nohh
4,mantap
5,mantap
4,minta update terus kak
1,banyak penipu  trus pusat komplenya gak bisa memahmi kendala masalh gak lagi pake tokped
1,makin aneh aja ini  pencairan dana pesanan selesai sampe  minggu  mau bangkrut ya
5,kurirnya emang harus di review kadang yang buat gak nyaman mang kurirny brang lama ngantrnya
1,tolong toko penipuannya di urus kok bisa lolos gmpang banget penipunya bikin akun toko baru berganti buat nipu orang
1,beli mudah antar paket tepat waktu
1,ga jelas pelayanan csnya mau retur karna kesalahan penjual malah ditolak padahal udah dikasih bukti video unboxing terus apa gunanya video unboxing kalo ttp ditolak jga bakalan w uninstall nih tokped kapok w blnja dsni
5,mantul
1,pesanan saya dibatalkan sepihak dan dana terpotong sangat mengecewakan pengalaman terburuk saya alami di aplikasi ini selama hampir tujuh tahun saya berlangganan dg beberapa aplikasi belanja online
4,aplikasinya kurang stabil padahal saya ram
1,ka untuk upload video barang bermasalah lama sekali seperti tidak dapat menampilkan video komplain barang kurang aplikasi tidak dapat menampilkan video ukuran  mb
5,bagus
5,good
5,buat jualan pulsatoken listrikkuotalumayan lah
5,mantap
2,ribet bgt
3,tolong kasih pilihan pengiriman nanti di tambah bintangnya
5,pembayaran yang praktis
1,stop sering muncul iklan terus
3,perbaiki itu lo upload video bukti kerusakan udaahh dibawah mb masih ada tulisan maaf ada gangguan teknis coba lagi ya gimana caranya ku claim
5,good
5,ada kesalahan dalam transaksi di go pay later gagal bayar hingga limit berkurang banyak dalam kurun waktu kurang dari  jam dana sudah kembali ke limit sebenar nya
5,mantap
1,tidak bisa kirim ke semua tampat seperti kalimantan
1,kenapa mitra tokopedia harus ditutup sy tidak dapat mengakses data transaksi
1,ga ada gratis ongkir mahal
1,olshop aneh ada voucher potongan tidak bisa di pakai ga niat ngasih vouchernya potongn dan skrg kalau belanja tdk bisa pakai gratis ongkir dan voucher potongn hrga
1,tokped gak kaya dlu lagi skrng lbih menguntungkn penjual drpda pembeli sudah jls penjual bermaslah tetpi msh di untngkan kcwa sekali
2,sayang sekali kalo akun dh ga aktif nomer ga bisa dipake lg
1,tampilan antarmuka aplikasi kurang bagus jadi makin ribet
5,tokopedia sekiranya bisa menerapkan ambil ditempat paket karena tdk selalu ada dirumahbiar kurir gak bolak balik  misal paket bisa di ambil di jnt terdekat atau bisa di ambil di expedisi terdekat
1,jualan di tokped malah buntung ongkir yang di tampilkan di awal pas pembeli nya cek out berbeda sama pas sampe tujuan naik  x lipat katanya ada penyesuian tapi di tagihkan ke penjual alhasil maen potong aj saldo nya hasil penjualan produk  rb lebih malah dikuras untuk nombok ongkir si pembeli  hati gays jaman skrg banyak penipuan apalagi ekspedisi si cepat gak pake konfirmasi dlu aja maen ubah tarif secara sepihak tanpa adanya pemberitahuan dlu
5,
1,pas cek out pesanan barang berubah sendiri pesan sepatu malah jadi kipas angin untung ngeh sama harganya yg tiba berubah dicoba ulang berkali hasilnya tetap sama lompat ke barang dan seller lain bener ngaco yg paling ngeselin fitur pembatalan pesanan harus minta persetujuan seller padahal seller lelet buang waktu pembeli harusnya selama barang belum dikirim pembeli bebas membatalkan pesanannya kalo sepwrti ini cuma buang waktu dan menahan dana pembeli tolong respon keluhan pengguna
5,bagus aplikasi belanja di tokopedia ini banyakin cod nya biar transaksi gampang kalau ga punya uang electronik
5,baru mencobai
1,maaf tokopedia untuk sekarang saya hapus menu cod nya ribet tidak seperti aplikasi sebelah bikin yang simple saja menu cod nya terima kasih
5,saya beri bintang  karena saya menyukai toko pedia untuk belanja onlen biar cepat makasih toko pedia
5,
1,gabung dengan tiktok shop potongannya makin ga masuk akal sementara ga pernah ikut program apa sama sekali
1,saldo refund saya masih di tahan di tokopediasudah menunggu jam tidakdi transfer
1,tokopedia sekarang
1,jaminan tepat estimasi penerimaan bisa berubah jadi nambah harinya
2,kenapa produk habis masih di tampilkan
5,
4,baik cepat mudah
1,dulu sih ok tp mulai th  ini barang sering dibatalkan otomatis karna tidak dikirim oleh seller sia sia vouchernya kalo barang selalu dibatalkan
5,toko pedia luar biasa mantulbelanja nyaman harga pas di kantong
5,nice good jobs
1,parah banget sya dapat kupon  rb tp syarat nya haru pesen barang dulu eh giliran barang nya udah nyampe gak ada tuh kupon  rb nya
1,kenapa jadi gini sih tokped parah sumpah
5,good
2,setiap kembali ke halaman sebelumnya musti muat ulang halaman versi jaman dulu ga gitu deh versi ios masih betul saat pencet kembali ke halaman sebelumnya langsung tampil di barang hasil pencarian terakhir tanpa muat ulang  jaman dulu barang di keranjang jika berlebih otomatis masuk wishlist sekarang ga ada fiturnya wishlist jumlah maksimal dibuat hapus otomatis aja dari yang terlama ga perlu klik minta hapus
1,masa ngk bisa liat berat produk di websitenya males banget
5,sebaiknya orderan yg tdk dikirim  x  jam harus batal otomatis saya punya pengalaman orderan saya  hari baru dikirim itu pun setelah saya komplain dan rencana batalkan orderan yg ditolak oleh seller atau kalau lewat  x  jam belum dikirim mohon pembatalan gak perlu persetujuan seller mohon konsumen juga diperhatikan
1,penanganan masalah customer sangat lamachat tidak dibalastak cari barang di tempat lain aja
5,ko ga bisa aktivasi ke ovo iya tolong bantuannya dong
1,makin kesini makin aneh aja tokped nyediain diskon tapi giliran mau co gk bisa pdhal sehari blum co apapun
5,is the best market
5,mantap tokopedia kuota banyak promonya
1,bikin iklan kok pakai tombol x palsu
3,gratis ongkir sih dibatasi tapi jangan dihapus juga
1,sekarang pengirimannya lamaenk pake shopee cepat pake kurir sendiridi tambah pemngembalian barang yang rusak ongkir di tanggung pembelitidak gtlratis ongkir
5,sangat bagus  diskon nya banyak
1,kacau aplikasi ini sering error  ui berubah terus setelah update bikin gak nyaman makin hari makin sampah
5,baik
4,menu penilaian kurang gak ada salahnya disamping inovasi ambil kelebihan online shop yg lain buang yg jelek
5,hadianya di realisasikan
1,saya udah tuker code reedem di tokopedia gift card buat dapet gopay coin tapi saldonya tidak masuk ke saldo gopay coin saya sudah saya hubungi customer service tapi tidak ada jawaban tolong tindak secepatnya dan kembalikan uang saya
5,yea yea yea
1,jangan ada yang download aplikasi tokopedia jangan ada yang checkout di tokopedia saya udah nunggu  hari saldo refund sampe sekarang belom masuk ke rekening dengan nominal jta pihak tokopedia tidak ada tanggapan nya sama sekali saya cuma minta hak saya kembali saya cuma minta uang saya kembali tapi sama pihak tokopedia di perlambat dan di persulit
5,pokoknya tokopedia mantap
5,min ini gimana limit gopaylater nya masih ada tapi tidak bisa di pake gak muncul di menu pembayarannya
5,service nya bagus belanja dibatalkan penjual uang kembali ke saldo jadi aman dan nyaman
3,diksih  bintang dulu baru pertama uji coba moga amanah terpercaya
1,duluduludullu toped menjadi marketplace favorit saya untuk berbelanja karena bebas ongkir dan diskon nya tapi sekarang toped sudah pelit alias ongkir nya pake syarat yang ribet dan diskon sudah jarang bahkan gak ada sekarang shoppe yang bebas ongkir dan diskon nya mantap maka nya saya sudah jarang bahkan berbulan bulan tidak make toped untuk berbelanja karena
2,cabut dulu beli di tokped karena lelet banget gambar hasil pencarian pecah pencarian tidak ditemukan tolong diperbaiki min tq
3,update melulu updatenya selalu minta hapus aplikasi lain dgn alasan memori ga cukup padahal di hpku tinggal ada  aplikasi ringan ga bisa apa bikin updatean yg ga minta nambah memori lama gw buang juga nih tokped
3,bagus
5,good
1,ada apa lagi ini buka product putih ga nongol tuh halaman product paketan wifi kenceng  aplikasi makin ga jelas aja sebelah lancar mudah dibikin gampang ngapah org mau blanja
1,sekarang makin tidak jelas udh batal otomatis tp uang belum d kembalikan
1,mau verifikasi data diri pakai ktp dan scan wajah kok susah minta bantu verifikasi manual customer service ga jawab menu ngereport toko sampah malah loading mulu luh top up emoney saldo belum masuk juga harga setelah di keranjang beda dan lebih mahal
2,yuk berbenah lagi di pengiriman khususnya ekpedisi idx paket tidak dikirim² padahal udah di kota tujuan
1,lemahnya perlindungan terhadap pesanan konsumen stock kosong tetapi dietalase tersedia pengiriman lama banget
1,emang bangsat ini aplikasi  login aplikasi minta update cari barang minta update klik barang minta update giliran diupdate kgk bisa jancok
5,baik
1,gk rekomendasi blas
4,good n nice gue langganan di apk ini dan ga pernah minus barang sama sekali tapi gue kasih rating  karena banyak iklan ni apk muncul
5,bagus banget belanja di tokopedia banyak diskon dan voucher gratis ongkir
1,pasang foto profile aja di batesi ukuran ribet banget tambahin kek di kodingannya padahal ecommerce gede tapi minim banget fitur
5,banyak diskon suukaa bangeett membantu banget aplikasi tokopedia inii sukaa
5,top dah pokonya
1,sekarang kok ga nyaman belanja di toped yg baru ga kaya dulu terbukti banyak komplin dari pelanggan kasih bintang  apakah tanda toped mau menyusul bl entahlah
1,penipuannya banyak masa beli minyak datengnya casing hp payah
1,plis bang  dengerin gua dan toppers lainya notif spam lu ganggu tapi gw musti aktifin notif buat cek status paket gue  pliss gausah spam produk random yang gw cek dari toko ato diskon² siang bolong  berisik anyiink
2,kembalikan ui ke yang dulu ui sekarang terlalu padat kebanyakan teks dan tampilan harga juga tidak sesuai jadi membingungkan
5,mantap dan membatu semua orang sukses selalu
5,bagus murah banyak diskon nya tapi lebih baik lagi kalau ada data nama dan nomer hp kurir
5,mudah untuk belanja online semua kebutuhan seharihari
5,nice bro
1,iklanya nongol terus payah
5,luar biasa sangat membantu
5,ok dan mantab
1,saatnya pindah ke toko sebelah
5,harga murah  bnyk diskony trmksih bnyk y tokped
1,jangan deh pake gtl walau free
1,batas waktu proses pesanan oleh penjual terlalu lama kalo penjualnya lama barang yang sampe juga jadi lebih lama padahal butuh cepet pembatalan order berbelit padahal butuh cepet paling lambat di banding kompetitor nya
5,luar biasa cepat proses nya
5,bagus lebih di tingkatin promonya
5,mantap tokpad
5,semoga bagus
5,icon aplikasi nya hampir sama kek icon aplikasi belajar bahasa asing sering di isengin juga admin nya di aplikasi item putih wkwk tapi kalo soal pengiriman ini aplikasi best deh
5,tokopedia banyak promo dan juga gratis ongkir
5,mantap
4,bagus tapi kok waktu udah beli nggak ada notif di pilihan barang dikemas atau lagi di pengiriman
1,order mggu sttus pgriman g brbh msih maklum libursnin sttus pgriman menunggu kurir smpai slsa msh aj nunggu kurir sttusnyhdeeh prah bget lemotnyhr ini tgl  mei jm  psn lwt toko oren jm  sdh dpick up kurirkota asal sm tjuan sm wkt order beda
2,mohon maaf untuk seller nya tolong di perbaikibanyak yg slow respon dan terkadang produk yang di pesan tidak sesuai pesanantolong di tingkatkan lagi kepuasan pembeli jgn pelihara seller yg lama proses nya
5,make an easy gaess
5,kok di hp saya gak ada pembayaran dana ya padahal mau belanja lewat dana
4,untuk kedepannya lebih murah lagi ok
1,aplikasi tlol semenjak di update gada pembatalan pesanan beda dengan shope
5,bagus utk jualan online
5,god
1,aplikasi selalu update tapi keamananya masih payah masih bisa di bobol
1,di klik malah ga muncul apa apa
1,aplikasi cacat banyak bug dari dulu ga pernah ada perkembangan kaya ga keurus
1,diskonnya makin pelit
5,bagus
1,mau komunikasi saya csnya aja ribetnya minta apun
5,banyak promo
1,dari smua platpom onlen shop cuma tokopedia yg pmbliannya lemot dalam pengiriman yg sya heran tiktok cpt bngt pdhal ini s tokped gbung sama tiktok tpi pngriman cpetan tiktok klo bisa ni tokped kurir jngan pke jne jne expedisi paling lemot taun² ini hapus aja tu jne sialan
5,belum coba sdh lama gk transaksi next time so pasti terimakasih toped
4,lumayan tambah  bintang lagi naikkan performanya basmi semua bug masih kebanyakan pop up bikin agak lelet
1,pantes banyak yang ambil alih wkkwkw diskona nya kaga ada sama sekali wkwkw  kalah sama sebelah diskon nya joss bunga kecil lagi ini mah apa wkwkw  ga heran kalo udh begini  udah gitu ada voucher gopaylater gabisa dipake  kan tolol lucu sekali aplikasinya wkwkwk
5,klo pake bonus kok malah harganya jd lbh tinggi dr harga awal ya apa ni cuma marketing doang pa gimana
1,tolong itu cs nya di kasih yg manusia jangan robot ga ada feed back nya sudah komplainya ongkir juga dari beli barang sampai balikin barang yg nanggung ongkir pembeli contoh aja si oren onggkirnya gratis  cs ada feedbacknya
5,ongkirnya sekarang lebih murahke kutai barat aja ada ongkir jadi lebih suka belanja di toko pediawalaupun gak ada yang cod v tetap aman
5,sangat membantu
1,pada toko tidak ada tulisan stok habis tapi di hari terakhir pada pemrosesan barang tiba tiba toko mengatakan bahwa stok habis harusnya terdapat kompensasi untuk costumer dan denda untuk toko karena telah menyianyiakan waktu customer
5,ok lh
3,kenapa pilihan ajukan pembatalan tidak ada pilihan stok kosong pada seller sering kali produk kosong masih tetap dipampang produk nya
5,sangat mudah untuk mendapatkan produk di tokopediasangat membantu sekali untuk belanja online
5,ok bgus
1,tokopedia mulai error lagi ini udahlah status online di chat room dihilangkan pengin mengubah template aja sering error terus mencari barang di  toko halamannya gak menampilkan barangnya langsung kalau dicari manual sih ada hanya aja membuang buang waktu
1,saya beli barang di toko mochi retailyang di iklankan apa yang di kirim apa sudah saya retur dan di setujui oleh penjualtapi sampai saat ini tidak ada itikad baik dari penjual untuk barang pengganti dan saya sudah menghubungi tokopedia care tapi ga membantu yang di jawab itu itu ajasampai saat ini barang pengganti blm juga ada dan pengembalian dana jasa pengiriman expedisi yang di tanggung pembeli juga tidak adahelloini namanya apa ya
5,aku coba dulu pakai tokopedia siapa tau cocok
2,makin lelet
1,kok gak bisa chek out  ada kendala terus nih keterangannya
1,gimana ini app seller uang gak bisa cair dioper oper ke dari akun tiktok suruh ke tokped terus ke tiktok gak ada yg bener mohkn bantuannya segera
5,mantap
1,tambah ruwet gopaylater gak bisa dipakai komplain jawabannya gitu aja bayar gk pernah telat kalo ada rating dibawah bintang  tak pilih bintang  ruwet
5,lama² kok bikin berat aplikasinya
5,baguss sering dapat diskon murah sekalii  cuman kadang loading lama banget kalau mau checkout
1,pesanan tiba tiba ke return sendiri cuma gara gara di status pengiriman katanya alamat pembeli tidak di temukan mohon hubungi pusat bantuan tokopedia terus pas coba chat toko nya katanya pesanan saya di kembalikan ke penjualdi return cuma gara gara alamat saya gak ketemu sama kurir nya padahal alamat saya udah bener lohdicek juga gak ada yg salah sama alamatnyaparah sih gak bertanggung jawab namanya kecewa
5,mantap
3,sebagai seller untuk menjual produk digital sangat susah biaya ongkir sangat mahal tdak bisa free
5,wasap bangeet
5,saya mau belanja peralatan mobel dg mingirim contoh barang
1,bisa buat tombol blokir gk
5,keren aplikasi nya
2,akun toko saya kenapa jadi hilang kemarin masih ada sekarang harus disambung ke tokopedia seller  tiktok harus buat akun dan toko baru lagi merepotkan dan bikin bingung penjual
1,sejak gabung goto tambah banyak potongan ny emang gak beres ini management
1,tokopedia sekarang aneh banget lain kali gak usah pakai jasa anteraja kurir seenaknya mereturn paket customer dg alasan gak bisa dihubungi padahal paket tidak pernah di antar dan customer tidak pernah dihubungi liat aja rating aplikanya aja satu dan tokopedia lelet banget dalam penanganan masalah customer super super lelet lebih enak shopee atau lazada kalau ada kendala customer lansung di urus pokoknya kapok pakai tokopedia
5,diskonya bener gila tokped  mantul deh pokonya
5,mantaap
5,aplikasi mudah digunakan
